date,total,total_inside,total_outside,total_gas,total_aqueous,total_gas_inside,total_aqueous_inside,total_gas_outside,total_aqueous_outside
20200101,2087428153.9980264,2049933679.7607803,37494474.237246215,1897215114.7307413,190213039.26728526,1859780471.664438,190153208.09634238,37434643.066303335,59831.1709428837
20400101,2292582769.791236,2225969606.2897196,66613163.50151629,2085994055.539606,206588714.25162977,2019487188.863251,206482417.42646864,66506866.676355146,106296.82516114142
20600101,2508881962.1847844,2400935627.3245254,107946334.86025876,2285997327.03973,222884635.14505404,2178223245.7113605,222712381.61316514,107774081.32836989,172253.53188887006
20800101,2736769282.8430314,2574651590.6768703,162117692.1661612,2497684196.667141,239085086.17589062,2335825201.056944,238826389.61992654,161858995.61019713,258696.55596407645
21000101,2976713388.139065,2747679004.7829638,229034383.35610124,2721471383.066972,255242005.0720929,2492802477.4411535,254876527.34181005,228668905.6258184,365477.7302828316
21200101,3229356934.1414824,2920969170.6560693,308387763.485413,2957913791.509654,271443142.6318284,2650018132.5641537,270951038.0919157,307895658.9455003,492104.5399127187
21400101,3495526473.222677,3095476243.1052346,400050230.1174425,3207749669.9539127,287776803.26876473,2808337813.201901,287138429.9033337,399411856.75201154,638373.3654309965
21600101,3776154423.8496895,3271890829.8547673,504263593.9949222,3471846989.770731,304307434.07895863,2968388065.8480353,303502764.006732,503458923.92269564,804670.0722265943
21800101,4072184939.9724374,3450528777.019954,621656162.9524833,3751119604.2032714,321065335.76916605,3130455438.5226517,320073338.4973025,620664165.6806198,991997.271863571
22000101,4384515889.782042,3631345142.413604,753170747.3684382,4046468045.8360934,338047843.94594836,3294499157.905658,336845984.5079458,751968887.9304357,1201859.4380026213
